month,avg_close,monthly_low,monthly_high,total_volume
2015-10,1.99,1.72,2.21,205349000
2015-11,2.16,1.94,2.4,136451200
2015-12,2.55,2.2,3.06,266450600
2016-01,2.22,1.75,2.82,355489300
2016-02,1.97,1.81,2.19,192749800
2016-03,2.6,2.12,2.98,333321700
2016-04,3,2.6,3.99,472576300
2016-05,3.88,3.45,4.71,394438600
2016-06,4.73,4.07,5.52,625642500
2016-07,5.62,4.82,7.16,700562400
2016-08,6.99,6.15,8,606398900
2016-09,6.45,5.66,7.64,1041904000
2016-10,6.89,6.24,7.53,869559700
2016-11,7.69,6.22,9.23,990277900
2016-12,10.58,8.26,12.42,1155647500
2017-01,10.65,9.42,11.69,878890400
2017-02,13.5,10.81,15.55,1571999700
2017-03,13.8,12.38,15.09,1733593200
2017-04,13.3,12.22,14.74,943383500
2017-05,11.05,9.85,13.63,1716437000
2017-06,12.47,10.57,14.67,2208152100
2017-07,13.72,12.13,15.65,1710461400
2017-08,12.69,11.86,13.93,1190382100
2017-09,12.78,12.04,14.24,1209201600
2017-10,13.28,10.65,14.41,1358068500
2017-11,11.27,10.66,12.27,1039199400
2017-12,10.37,9.7,11.19,795755000
2018-01,12.36,10.34,13.85,1335288900
2018-02,11.97,10.63,13.84,1103985800
2018-03,11.26,9.79,12.82,1483511900
2018-04,10.08,9.04,11.36,1163360900
2018-05,12.44,10.77,13.95,1020602700
2018-06,15.62,13.92,17.34,1632781900
2018-07,16.75,14.74,20.18,1456419400
2018-08,21.05,18,27.3,2201119100
2018-09,30.83,25.57,34.14,3063055900
2018-10,24.71,16.17,31.91,2655213100
2018-11,20.4,17.18,22.22,2140346900
2018-12,19.24,16.03,23.75,1981674300
2019-01,20.33,16.94,25.14,2311913200
2019-02,23.6,22.27,25.52,1301360800
2019-03,24.25,21.04,28.11,1499160400
2019-04,27.87,25.83,29.95,1275793800
2019-05,27.41,26.03,29.67,1675142900
2019-06,30.44,27.29,34.3,1578411200
2019-07,32.89,30.1,34.86,1155469400
2019-08,30.84,27.65,35.55,1645871800
2019-09,30.24,28.35,32.05,1012749700
2019-10,30.69,27.43,34.34,1067281800
2019-11,38.07,34.1,41.79,1202279900
2019-12,42.32,37.15,47.31,982440800
2020-01,49.2,46.1,52.81,1227882000
2020-02,51.38,41.04,59.27,1283146900
2020-03,44.42,36.75,50.2,2095887300
2020-04,52.06,41.7,58.63,1714615700
2020-05,53.5,49.09,56.98,1192698100
2020-06,53.49,48.42,59,1174606200
2020-07,60.23,51.6,78.96,1563684800
2020-08,83.42,76.1,92.64,1220335300
2020-09,79.78,73.85,94.28,1168263000
2020-10,82.21,74.23,88.72,1181118000
2020-11,83.2,73.76,92.74,907041400
2020-12,93.2,89.03,97.98,848701400
2021-01,91.68,85.02,99.23,997848700
2021-02,88.68,79.36,94.22,734954400
2021-03,79.37,73.86,86.95,1008228800
2021-04,81.84,77.94,89.2,986273800
2021-05,76.98,72.5,82,892921300
2021-06,83.33,78.96,94.34,812057600
2021-07,92.05,84.24,106.97,1138187300
2021-08,108.79,101.98,122.49,1998312900
2021-09,105.51,99.51,111.85,867104200
2021-10,112.38,99.82,128.08,930236100
2021-11,146.96,118.13,164.46,1373609400
2021-12,143.49,130.6,160.88,1175493900
2022-01,126.84,99.35,152.42,1638612600
2022-02,119.63,104.26,132.96,2293656000
2022-03,112.68,100.08,125.67,2460278900
2022-04,95.8,84.02,111.42,1719017900
2022-05,94.27,83.27,104.55,2898334400
2022-06,90.85,75.48,109.57,2030987200
2022-07,82.9,71.6,94.81,1633255900
2022-08,96.37,83.72,104.59,1801038400
2022-09,74.99,62.83,85.68,1677508600
2022-10,60.32,54.57,70.29,1961500500
2022-11,69.61,58.03,79.16,1681532600
2022-12,68.09,61.96,79.23,1149724900
2023-01,70.27,60.05,77.08,1081467000
2023-02,82.07,75.92,88.94,1145820100
2023-03,90.47,76.65,102.43,1656082900
2023-04,90.81,83.76,97.27,895569200
2023-05,102.22,81.02,130.79,1763501900
2023-06,117.79,107.08,132.83,1542984600
2023-07,113.69,108.55,122.12,1141976800
2023-08,108.82,99.58,119.5,1571438600
2023-09,103.11,94.46,111.82,1044490600
2023-10,102.56,93.12,111.31,1160990100
2023-11,117.59,98.5,125.73,1116347700
2023-12,134.97,116.37,151.05,1280195500
2024-01,158.71,133.74,184.92,1956510100
2024-02,174.36,161.81,193,1271419300
2024-03,192.16,172,227.3,1528117700
2024-04,162.84,145.29,187.24,1243116700
2024-05,158.79,141.16,174.55,1119411100
2024-06,161.01,153.34,171.08,959157900
2024-07,160.94,134.05,187.28,1243397700
2024-08,143.68,121.83,162.04,1101975100
2024-09,151.12,132.11,168.73,659948700
2024-10,160.17,143.33,174.05,900788500
2024-11,140.76,132.96,150.71,611536700
2024-12,129.04,117.9,144.12,814343000
2025-01,120.36,112.8,131.71,779088400
2025-02,110.1,98.69,119.85,798519600
2025-03,103.45,94.73,115.9,721274200
2025-04,92.13,76.48,104.19,936362700
2025-05,108.69,96.45,122.52,910142900
2025-06,126.62,111.01,147.75,1075783700
2025-07,154.52,133.5,182.5,1186301600
2025-08,170.9,157.8,186.65,1305775000
2025-09,159.04,149.22,165.1,915555100
2025-10,227.28,160.49,267.08,1759727400
2025-11,233.13,194.28,263.51,1050767500
2025-12,214.42,197.53,225.98,599995500
2026-01,217.23,207.17,234.02,138136000
